itemID, type, w1, w2, w3, w4, scores, prediction 
0,其他类型,0.40038732005497263,0.06456671528836802,0.09081709168948769,0.3652947116029495,0.9210658386357778,其他类型
1,其他类型,0.4818317571599544,0.07770049730138671,0.10929057109724294,0.4396008164012835,1.1084236419598676,其他类型
2,其他类型,0.45066625613149897,0.07267472867452973,0.1022215156534755,0.4111668672228031,1.0367293676823073,其他类型
3,其他类型,0.48124478696853523,0.0776058421129384,0.1091574327009376,0.4390652921824732,1.1070733539648845,其他类型
4,其他类型,0.4377562304323345,0.07059284967404336,0.09929322364993831,0.3993883620645592,1.0070306658208754,其他类型
5,其他类型,0.3891542854955574,0.06275526895154952,0.0882691800088842,0.3550462149241732,0.8952249493801644,社区主导
6,其他类型,0.4915743538160305,0.07927159466874566,0.11150041703763655,0.4484895070702501,1.1308358725926628,其他类型
7,社区主导,0.05717806735639326,0.0092205717084959,0.012969306283276687,0.05216660113537053,0.13153454648353638,社区主导
8,其他类型,0.5963727558125965,0.0961714519955441,0.1352711150750449,0.5441026799063166,1.3719180027895022,政府主导
9,其他类型,0.46659792859853916,0.07524388036521186,0.105835186933094,0.42570218192358095,1.073379177820426,其他类型
10,社区主导,0.001253749338304757,0.00020218042009469397,0.0002843793070090845,0.001143862405271835,0.0028841714706803706,社区主导
11,社区主导,0.5303763205010669,0.08552882463106691,0.12030159926709269,0.4838906112508009,1.2200973556500274,其他类型
12,社区主导,0.06416376108193801,0.010347089146178639,0.014553822964525162,0.058540022187937926,0.14760469538057974,社区主导
13,社区主导,0.0924525980137536,0.014908965081122908,0.020970384550623663,0.08434943724926314,0.21268138489476332,社区主导
14,社区主导,0.08988514694265363,0.014494936279457143,0.020388027348851274,0.08200701467093728,0.20677512524189934,社区主导
15,社区主导,0.01473896132728851,0.0023768143295213357,0.003343136845803191,0.013447140700259083,0.03390605320287212,社区主导
16,社区主导,0.0696756863433436,0.011235945738827666,0.015804054919378144,0.06356884564934455,0.16028453265089396,社区主导
17,社区主导,0.12283468676126964,0.01980840014254659,0.027861743995079794,0.11206863761104105,0.2825734685099371,社区主导
18,社区主导,0.00038427656867014246,6.196868521687827e-05,8.71628011752382e-05,0.00035059601365212446,0.0008840040687143834,社区主导
19,社区主导,0.14010982240563288,0.02259419956437742,0.03178014375246239,0.1278296654384035,0.3223138311608762,社区主导
20,社区主导,0.07080174500163872,0.011417534678203068,0.016059471030967512,0.06459620903531152,0.16287495974612082,社区主导
21,社区主导,0.059966663879532235,0.009670262567184748,0.013601824381232754,0.05471078650706806,0.1379495373350178,社区主导
22,社区主导,0.10217403372591344,0.01647665002113304,0.023175430700195686,0.09321882166021916,0.23504493610746133,社区主导
23,其他类型,0.4051906122223142,0.06534129725508217,0.09190658929174184,0.36967701128909547,0.9321155100582337,其他类型
24,其他类型,0.43025561956711567,0.06938329636911619,0.09759191186868554,0.3925451546361125,0.9897759824410299,其他类型
25,其他类型,0.5555289690952682,0.0895849568290276,0.1260068009035966,0.5068387143850549,1.2779594412129474,政府主导
26,其他类型,0.5043757009967867,0.08133594810185127,0.11440405824311747,0.46016885901846244,1.160284566360218,其他类型
27,政府主导,0.9188998777445567,0.14818238194132374,0.20842771554086334,0.838361379143067,2.113871354369811,政府主导
28,政府主导,0.05567671765061441,0.008978463094796572,0.012628765494250243,0.05079683970608161,0.12808078594574285,社区主导
29,其他类型,0.40268059265124717,0.06493652989384041,0.09133725888063715,0.36738698653205576,0.9263413679577805,其他类型
30,社区主导,0.11696156372480232,0.01886129656569736,0.02652958404247874,0.1067102741505788,0.26906271848355723,社区主导
31,其他类型,0.45358131547247765,0.07314481300809911,0.10288271843935196,0.4138264313696449,1.0434352782895737,其他类型
32,其他类型,[0.33712648],[0.05436523],[0.07646807],[0.30757848],[0.77553826],社区主导
33,社区主导,0.03831793536023686,0.006179174761335643,0.008691392745616183,0.0349594965812513,0.08814799944843998,社区主导
34,其他类型,0.544251851382544,0.08776640161471436,0.12344889014566099,0.49654999829380475,1.252017141436724,政府主导
35,社区主导,0.04421909931817953,0.007130800235114757,0.010029913026851855,0.04034344327027836,0.10172325585042451,社区主导
36,社区主导,0.1259418906719287,0.020309469832303202,0.028566529607205363,0.11490350549916478,0.28972139561060206,社区主导
37,社区主导,0.0033075795308928147,0.0005333823904200283,0.0007502354307477145,0.003017681255928434,0.007608878607988992,社区主导
