itemID, type, scores, prediction 
0,其他类型,1.1084573794299928,其他类型
1,其他类型,1.0090778492563885,其他类型
2,其他类型,1.0857703614324692,其他类型
3,其他类型,1.0918321989324618,其他类型
4,其他类型,0.9102470191590885,其他类型
5,其他类型,1.1221360547653403,其他类型
6,其他类型,1.116825279444212,其他类型
7,社区主导,0.13187634338180096,社区主导
8,其他类型,1.2030979467450762,其他类型
9,其他类型,0.9794154692978595,其他类型
10,社区主导,0.31100976417422355,社区主导
11,社区主导,0.006295794574787816,社区主导
12,社区主导,0.14816985772614963,社区主导
13,社区主导,0.2013122542307192,社区主导
14,社区主导,0.04583091218053362,社区主导
15,社区主导,1.7516937712522518,政府主导
16,社区主导,0.030431427910057127,社区主导
17,社区主导,0.034630549846096204,社区主导
18,社区主导,0.24327479942658956,社区主导
19,社区主导,1.1226049517958323,其他类型
20,社区主导,0.21426204770627516,社区主导
21,社区主导,0.29548337268283004,社区主导
22,社区主导,0.02270087432729708,社区主导
23,其他类型,1.051205760114706,其他类型
24,其他类型,0.9273924488102282,其他类型
25,其他类型,0.9159606795673874,其他类型
26,其他类型,1.1112256209652693,其他类型
27,政府主导,0.8804536408759737,社区主导
28,政府主导,2.0766905744330026,政府主导
29,其他类型,1.0156277889692107,其他类型
30,社区主导,1.609243688283676,政府主导
31,其他类型,1.0605924452332036,其他类型
32,其他类型,1.1825420360733676,其他类型
33,社区主导,0.027066349758573326,社区主导
34,其他类型,1.1589800605644067,其他类型
35,社区主导,0.007921461358722919,社区主导
36,社区主导,0.0025038390608131955,社区主导
37,社区主导,0.3390043749405381,社区主导
38,社区主导,0.16653933647105248,社区主导
39,社区主导,0.07870001455751131,社区主导
40,社区主导,0.13878392139873325,社区主导
41,社区主导,0.2225067660230252,社区主导
42,其他类型,1.0204165084640442,其他类型
43,其他类型,1.0322539907965709,其他类型
44,社区主导,0.05600890945902188,社区主导
45,社区主导,0.29478685765468915,社区主导
46,社区主导,0.04573872683483149,社区主导
47,社区主导,0.131248813359519,社区主导
48,其他类型,0.9363819782301489,其他类型
49,其他类型,0.9258579933553445,其他类型
50,其他类型,1.0292152774883716,其他类型
51,其他类型,1.040703104202094,其他类型
52,社区主导,0.2529436404487687,社区主导
53,社区主导,0.09662464714318664,社区主导
54,社区主导,0.08887204601006057,社区主导
55,政府主导,0.3060362479822726,社区主导
56,社区主导,0.040955794070917026,社区主导
57,社区主导,0.08622555983930848,社区主导
58,其他类型,0.9301770461352081,其他类型
59,社区主导,0.3486194149499007,社区主导
60,社区主导,0.20061328572200482,社区主导
61,社区主导,0.13639735626681554,社区主导
62,其他类型,[0.25267789],社区主导
63,其他类型,1.060964566011161,其他类型
64,社区主导,0.034285875908249414,社区主导
65,社区主导,0.19805680132646244,社区主导
66,社区主导,0.13292800084905815,社区主导
67,社区主导,0.08361300811458199,社区主导
68,政府主导,1.8022240593390486,政府主导
69,社区主导,0.2205961473363967,社区主导
70,社区主导,0.23621360582500367,社区主导
71,社区主导,0.2699763950917774,社区主导
72,社区主导,0.11639443748057954,社区主导
73,社区主导,0.028170170898137274,社区主导
74,其他类型,0.9358952011684984,其他类型
75,社区主导,0.0038256547037761376,社区主导
76,社区主导,0.195497809721961,社区主导
77,社区主导,0.06152088827902294,社区主导
78,政府主导,1.4097371482432473,政府主导
79,社区主导,1.2054988733436436,其他类型
80,社区主导,1.742823405752446,政府主导
81,社区主导,0.07311363839963396,社区主导
82,其他类型,1.188417917075812,其他类型
83,社区主导,0.04140204941178241,社区主导
84,社区主导,1.2849279863359,政府主导
85,社区主导,0.0904213128249565,社区主导
86,其他类型,1.1265814372459555,其他类型
87,社区主导,0.09055741057595984,社区主导
88,社区主导,1.065273276085823,其他类型
89,政府主导,1.9422700058880273,政府主导
90,社区主导,0.2709112168194076,社区主导
91,社区主导,0.25516796806054437,社区主导
92,社区主导,0.32118579844267087,社区主导
93,其他类型,1.221846831596372,其他类型
94,政府主导,1.9358633738686417,政府主导
95,其他类型,0.9629853204440523,其他类型
96,社区主导,0.3259496074058103,社区主导
97,社区主导,0.019565576986744423,社区主导
98,社区主导,0.14039834743036372,社区主导
99,社区主导,0.15569246193396255,社区主导
100,社区主导,0.3319064768868647,社区主导
101,政府主导,0.31260690232834404,社区主导
102,社区主导,0.2191546051269003,社区主导
103,社区主导,0.3199665050143397,社区主导
104,政府主导,1.9578894024583606,政府主导
105,政府主导,2.1905223779509706,政府主导
106,政府主导,2.905690889842657,政府主导
107,社区主导,0.1804317332089038,社区主导
108,社区主导,1.4528679131900437,政府主导
109,社区主导,0.34938905183162555,社区主导
110,政府主导,1.751294200328159,政府主导
111,社区主导,0.323254417576392,社区主导
112,社区主导,0.32653148783746744,社区主导
113,政府主导,2.6550230183573174,政府主导
114,其他类型,0.9642751110542613,其他类型
115,其他类型,0.9631283240735257,其他类型
116,其他类型,0.9450085936770133,其他类型
117,其他类型,1.1979237852304851,其他类型
118,社区主导,0.10486606356906836,社区主导
119,社区主导,0.20793095663536337,社区主导
120,社区主导,0.018666791516402652,社区主导
121,社区主导,0.03428823815589488,社区主导
122,社区主导,0.33399618754086635,社区主导
123,社区主导,0.2803766852403179,社区主导
124,社区主导,0.14278940378930022,社区主导
125,社区主导,0.21133685071005917,社区主导
126,社区主导,0.000981647817622905,社区主导
127,社区主导,0.2601940553428651,社区主导
128,其他类型,1.2250966973750765,其他类型
129,政府主导,1.351229693911454,政府主导
130,社区主导,0.23121187577197186,社区主导
131,政府主导,2.4999436553335035,政府主导
132,社区主导,0.050650146823462604,社区主导
133,政府主导,0.8224816940500157,社区主导
134,社区主导,0.29655477879406356,社区主导
135,社区主导,0.1214888561584447,社区主导
136,社区主导,0.08063866206844661,社区主导
137,社区主导,0.10701891987461455,社区主导
138,政府主导,2.1064349968763367,政府主导
139,社区主导,0.11668974973046894,社区主导
140,社区主导,0.2914014800486926,社区主导
141,政府主导,1.6418592441817284,政府主导
142,政府主导,2.956942018863824,政府主导
143,其他类型,1.1701194628278713,其他类型
144,社区主导,0.040649408494603585,社区主导
145,社区主导,0.345245326907921,社区主导
146,社区主导,0.07304636587018397,社区主导
147,社区主导,0.22902671767018273,社区主导
148,社区主导,0.26333920887320816,社区主导
149,政府主导,2.432701889588376,政府主导
150,其他类型,1.1615160361016597,其他类型
151,其他类型,0.9566758866325402,其他类型
152,其他类型,1.0821935724592593,其他类型
153,社区主导,0.2769455803442839,社区主导
154,社区主导,0.23830415418416268,社区主导
155,其他类型,1.1894146279251105,其他类型
156,政府主导,1.9278670697519145,政府主导
157,其他类型,[1.81353699],政府主导
158,社区主导,0.0616354275768792,社区主导
159,政府主导,2.5843283252151155,政府主导
160,社区主导,0.06101797079126105,社区主导
161,其他类型,1.2225512798869866,其他类型
162,政府主导,2.376139577675212,政府主导
163,社区主导,0.2613118610738209,社区主导
164,政府主导,1.934449711820872,政府主导
165,社区主导,0.3409029918377828,社区主导
166,其他类型,1.112077402845543,其他类型
167,社区主导,0.07644588290219041,社区主导
168,社区主导,0.17436319726482036,社区主导
169,政府主导,1.3142061587007632,政府主导
170,社区主导,0.22774908605762148,社区主导
171,社区主导,0.24262932040900428,社区主导
172,社区主导,0.34711819273478095,社区主导
173,政府主导,1.8777748879505343,政府主导
174,社区主导,0.14179728315918153,社区主导
175,政府主导,1.9098499695416544,政府主导
176,社区主导,0.3221498560222496,社区主导
177,政府主导,1.6898492324859324,政府主导
